,lat,lon,region_1
0,45.3442868,-122.6670374,Willamette Valley
1,42.764927,-83.497657,Lake Michigan Shore
2,22.41124455,113.980393164403,Napa Valley
3,37.1801529,-89.3502834,Alexander Valley
4,-33.3117096,151.312067495083,Central Coast
5,37.1232245,-78.4927721,Virginia
6,43.9792797,-120.737257,Oregon
7,35.6267654,-120.6912456,Paso Robles
8,38.41699,-123.099028645174,Sonoma Coast
9,39.2806451,-80.3445341,Clarksburg
10,49.2318525,-124.7647323,Dry Creek Valley
11,37.8212867,-85.9699148,Sonoma Valley
12,45.2109843,-123.1975851,McMinnville
13,42.332599,-87.9939847,Lake County
14,38.01032755,-78.4523439044681,Monticello
15,-23.0053563,-43.3297952,North Coast
16,46.2947665,-117.9174697,Columbia Valley (WA)
17,34.608637,-120.104677421497,Santa Ynez Valley
18,36.7014631,-118.7559974,California
19,38.5802188,-122.4313836,Howell Mountain
20,38.5787966,-122.5797054,Calistoga
21,,,Eola-Amity Hills
22,41.947247,-88.399782,Ancient Lakes
23,53.01384105,-1.35847296847345,Knights Valley
24,38.5110803,-122.8473388,Sonoma County
25,39.62149,-84.196509,Finger Lakes
26,39.021301,-84.555223,Santa Clara Valley
27,38.395445,-122.360172550506,Yountville
28,30.7059791,-104.2149139,Rockpile
29,,,Santa Lucia Highlands
30,53.7748716,-122.0098849,Spring Mountain District
31,36.600256,-121.8946388,Monterey
32,36.4796839,-121.7324476,Carmel Valley
33,37.2191111,-122.0713502,Santa Cruz Mountains
34,28.9785947,-96.6460877,Edna Valley
35,38.9028592,-123.0581113,Russian River Valley
36,21.4320532,-99.6668354667019,Arroyo Seco
37,40.1123997,-85.6657225,Anderson Valley
38,39.3540335,-120.8089843,Nevada County
39,42.69767595,-76.7126902611025,Cayuga Lake
40,34.7136533,-119.9858232,Santa Barbara County
41,14.6817584,121.0331299,Diamond Mountain District
42,39.3176491,-123.4126399,Mendocino
43,38.3229698,-122.5749837,Sonoma Mountain
44,38.449089,-120.5911018,Amador County
45,-15.9686862,-5.7129557,St. Helena
46,32.020114,-102.713209,Cole Ranch
47,34.947792,-120.564712,Santa Maria Valley
48,39.17165575,-94.5792892201309,Dundee Hills
49,35.1185869,-120.5907252,Arroyo Grande Valley
50,39.3176491,-123.4126399,Mendocino County
51,40.826489,-74.1068091,Rutherford
52,,,Walla Walla Valley (WA)
53,40.7306458,-73.9866136,New York
54,,,North Fork of Long Island
55,46.7206936,-119.3980773,Wahluke Slope
56,,,Templeton Gap District
57,46.1059546,-121.460637,Snipes Mountain
58,40.8517821,-73.0992277431,Long Island
59,19.5286964,-96.9383067,Carneros
60,29.5685388,-98.7033549,Ribbon Ridge
61,35.3582967,-117.6167261,Red Mountain
62,14.5604833,121.042489,Sta. Rita Hills
63,38.7574137,-120.5276129,El Dorado
64,38.2339528,-122.1265549,Suisun Valley
65,45.3138959,9.503263,Lodi
66,46.601557,-120.5108421,Yakima Valley
67,36.2231079,-121.3877428,Monterey County
68,0.8129872,-77.8462929,Chiles Valley
69,38.2558181,-120.4981492,Calaveras County
70,,,Chehalem Mountains
71,,,Horse Heaven Hills
72,43.3654703,-123.468541,Umpqua Valley
73,33.7293637,-117.7793546,Ballard Canyon
74,34.6216542,-118.4139702,Green Valley
75,31.5364313,-110.255489838222,Sierra Foothills
76,38.7184542,-121.9059001,Yolo County
77,38.8949549,-77.0366456,Washington
78,48.44476855,-123.391452311162,Columbia Gorge (WA)
79,42.3037846,-122.9745456,Oak Knoll District
80,43.4725937,-71.6574492,Rogue Valley
81,38.5177297,-122.9738437,Northern Sonoma
82,43.6447642,-114.0154071,Idaho
83,38.2551307,-121.4521395,Mokelumne River
84,26.5288369,-108.9606224,Los Carneros
85,38.3793566,-122.4477575,Mount Veeder
86,37.6820583,-121.7680531,Livermore Valley
87,31.8160381,-99.5120986,Texas
88,33.4946353,-117.1473661,Temecula Valley
89,39.3365545,-123.3011195,Mendocino Ridge
90,29.6642381,-98.1444271,Texas High Plains
91,,,Shenandoah Valley (CA)
92,,,Yorkville Highlands
93,,,Happy Canyon of Santa Barbara
94,45.9979808,-118.3989894,Walla Walla Valley (OR)
95,42.62798415,-76.8964140303032,Seneca Lake
96,46.6409587,-120.6420137,Naches Heights
97,7.099221,125.5990937,Hudson River Region
98,38.29331315,-122.469385870353,Napa-Sonoma
99,43.1854085,-101.655263,Bennett Valley
100,,,Paso Robles Willow Creek District
101,37.9034806,-121.9175345,Contra Costa County
102,43.6211955,-84.6824346,Michigan
103,,,Stags Leap District
104,38.5935173,-120.6604855,Fair Play
105,40.9699889,-77.7278831,Pennsylvania
106,42.1867143,-122.696902069014,Southern Oregon
107,44.9576705,-85.5155287,Old Mission Peninsula
108,34.4209397,-89.8270328,Dunnigan Hills
109,32.776853,-96.857517,Coombsville
110,43.447436,-79.666672,Oakville
111,38.9690189,-77.7355056,Middleburg
112,39.0007303,-120.9924431,Applegate Valley
113,36.6248089,-121.1177379,San Benito County
114,35.3540209,-120.3757163,San Luis Obispo County
115,44.9236071,-85.5156283,Leelanau Peninsula
116,,,Outer Coastal Plain
117,38.29331315,-122.469385870353,Sonoma-Napa
118,34.4221319,-119.7026673,Santa Barbara
119,,,Virginia's Eastern Shore
120,45.9280203,-123.082293,Columbia Valley (OR)
121,31.473003,-93.831742,Red Hills Lake County
122,22.2493255,114.14950835,South Coast
123,42.1432445,-81.2396642041535,Lake Erie
124,39.3221089,-123.113059,Potter Valley
125,,,Sonoma County-Napa County
126,34.1650086,-118.5795265,Chalk Hill
127,40.0757384,-74.4041622,New Jersey
128,39.2654449,-123.2044496,Redwood Valley
129,39.7556652,9.67175329123376,Cucamonga Valley
130,38.5037966,-120.7554891,Fiddletown
131,33.4709714,-81.9748429,Augusta
132,34.5708167,-105.993007,New Mexico
133,39.5158825,-116.8537227,Nevada
134,36.7285708,-121.2785409,Paicines
135,39.1012064,-120.7650606,Placer County
136,,,Napa County-Sonoma County
137,38.2218938,-121.9163555,Solano County
138,4.65300645,-74.0558084894263,Adelaida District
139,36.524006,-121.2286228,Chalone
140,48.44476855,-123.391452311162,Columbia Gorge (OR)
141,48.07858615,-120.475713837271,Lake Chelan
142,45.0644539,-84.2652871,Rattlesnake Hills
143,38.7574137,-120.5276129,El Dorado County
144,38.4898675,-122.3218414,Napa County
145,38.0409144,-122.6199638,Marin County
146,38.5318041,-123.2178198,Fort Ross-Seaview
147,36.6974604,-121.405214,Mt. Harlan
148,36.7186762,-121.3543641,Cienega Valley
149,33.4946353,-117.1473661,Temecula
150,48.4445864,0.7736251,Grand Valley
151,38.7251776,-105.6077167,Colorado
152,31.8514532,-109.8181858,Cochise County
153,38.8832359,-122.9938883,Pine Mountain-Cloverdale Peak
154,,,Big Valley District-Lake County
155,29.4246002,-98.4951405,San Antonio Valley
156,34.5134034,-118.3196305,Sierra Pelona Valley
157,35.2827525,-120.6596156,San Luis Obispo
